Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,Log_Return,Trading_Range,Price_Change,Volatility20,MA20,MA50,MA200,EMA20,Target,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,BB_Width,Momentum10
2015-11-20,204.22293090820312,216.43397521972656,217.79405212402344,211.56515502929688,213.49668884277344,11304265,0.0129446258268075,0.0128615602253597,6.2288970947265625,2.937286376953125,0.0149192244389111,215.53907852172853,206.62182037353517,208.36836791992187,213.48002896671204,1,51.55048181972264,-1.2212519081811877,-1.031852062469178,221.86586408324422,209.21229296021284,12.653571123031384,-1.0171966552734375
2015-11-23,205.71115112304688,218.01119995117188,218.95982360839844,216.285400390625,217.15402221679688,10499517,0.0072873250599592,0.0072609008037997,2.674423217773437,0.857177734375,0.015012919632557,215.5247917175293,207.1605908203125,208.39619789123532,213.91156906047013,1,51.601790422448786,-0.8425006624171658,-0.9939817824587757,221.82659676994714,209.22298666511145,12.603610104835695,3.920196533203125
2015-11-24,208.72000122070312,221.199935913086,222.09141540527344,217.3940277099609,217.8397674560547,14806176,0.0146264777343012,0.0145205425320967,4.697387695312528,3.3601684570312784,0.015363882381214,215.6625129699707,207.77547943115235,208.45614379882807,214.6056992369097,1,52.07130998082801,-0.2817849867237783,-0.8515424233117762,222.34214211666566,208.98288382327573,13.359258293389928,3.4973144531250853
2015-11-26,213.2386016845703,225.9887542724609,226.7430877685547,221.3256683349609,221.9542694091797,23805828,0.021649275528075,0.0214182582535605,5.417419433593778,4.034484863281222,0.0156625115519739,216.1859680175781,208.41574096679688,208.5482627868652,215.689799716486,0,55.25091576049299,0.5427473916952295,-0.5726844603103751,224.30435018883134,208.0675858463249,16.236764342506433,6.263168334960909
2015-11-27,211.16802978515625,223.7943572998047,226.86880493164065,222.66287231445312,226.0687561035156,10891864,-0.0097102042963189,-0.009757655755489,4.205932617187528,-2.274398803710909,0.0158480132236791,216.6374198913574,208.8957656860352,208.5956365966797,216.4616623434688,0,57.00934957636051,1.0075117770629163,-0.25664521283571684,225.40166283661736,207.87317694609746,17.528485890519903,12.869232177734375
2015-11-30,208.590576171875,221.0627899169922,225.0172882080078,219.9655914306641,223.66864013671875,29919205,-0.0122057026627939,-0.0122808039868244,5.051696777343722,-2.6058502197265625,0.0161409526107046,216.98200912475585,209.35338928222657,208.63941024780277,216.8998649695186,0,57.81250053433803,1.1422589911630041,0.02313562796402735,225.87887607533185,208.08514217417985,17.793733901151995,7.7832489013671875
2015-12-01,208.33175659179688,220.7884979248047,223.7372131347656,219.7255859375,220.35418701171875,12981379,-0.0012407877069248,-0.001241558121338,4.011627197265597,0.4343109130859375,0.0161414885175876,217.2665954589844,209.8331854248047,208.68764129638672,217.27021096526013,1,53.73754742254937,1.2129321311390981,0.26109492859904154,226.27300364273142,208.2601872752373,18.01281636749411,7.223236083984375
2015-12-02,210.93077087402344,223.5429229736328,223.9429473876953,220.46847534179688,220.86849975585932,7573628,0.0124754010046583,0.0123982243993803,3.474472045898437,2.674423217773466,0.016284608071915,217.6123275756836,210.3548123168945,208.7654167175293,217.86761210891467,0,54.542981570791916,1.4742064511848127,0.5037172331161958,227.0367339883802,208.18792116298698,18.848812825393225,11.474884033203125
2015-12-03,210.7689971923828,223.37147521972656,226.0573272705078,222.66287231445312,222.84573364257807,11361395,-0.0007669567509702,-0.0007672510127662,3.3944549560546875,0.5257415771484943,0.016080370772369,217.8111946105957,210.85860961914065,208.85742141723637,218.3917895480396,0,68.640882311268,1.6484317363656373,0.7326601337660841,227.5563073478416,208.0660818733498,19.490225474491808,14.903610229492159
2015-12-04,208.23471069335932,220.6856231689453,223.1428985595703,219.75987243652344,222.2514190673828,13443688,-0.0120241496732705,-0.0120970245221442,3.383026123046875,-1.5657958984375,0.0162529427575393,217.79119338989256,211.2833169555664,208.95279769897465,218.61024989288777,0,60.983041811432,1.5518914772698906,0.8965064024668454,227.50961433629695,208.07277244348822,19.43684189280873,7.017501831054659
2015-12-07,205.344482421875,217.62261962890625,222.41143798828125,217.0968780517578,220.6856231689453,14483909,-0.0138794883692726,-0.0139767090988769,5.3145599365234375,-3.0630035400390625,0.0161259627655588,217.79976577758788,211.54230163574215,209.01148643493653,218.51618986774665,0,55.559049231421525,1.214226986439371,0.9600505192613507,227.51722629489075,208.082305260285,19.434921034605736,1.1886444091796875
2015-12-08,202.9395751953125,215.07391357421875,217.97691345214844,213.97671508789065,216.902572631836,7532164,-0.0117115861349045,-0.0117807069662023,4.000198364257784,-1.828659057617216,0.0159560969086756,217.8489112854004,211.8294021606445,209.0477740478516,218.1883540302678,0,54.00305543554996,0.7325221076490607,0.9145448369388927,227.49709061925006,208.20073195155072,19.296358667699337,-2.937286376953125
2015-12-09,197.5474090576172,209.3593292236328,215.65679931640625,208.6621551513672,213.99957275390625,9174419,-0.0265703276404738,-0.026929698834395,6.994644165039063,-4.6402435302734375,0.0165352288276005,217.431746673584,212.1402752685547,209.0459453582764,217.347494524874,1,51.123906978676835,-0.1090941086310977,0.7098170478248946,227.80109480088493,207.06239854628302,20.738696254601905,-11.840606689453182
2015-12-10,204.97781372070312,217.2340240478516,218.0226287841797,210.2965240478516,210.86798095703125,18592203,0.0376132979285925,0.0369231699832619,7.726104736328097,6.366043090820341,0.0186185143643864,217.3071685791016,212.59744171142577,209.10029098510745,217.33668781277663,1,54.21166929488624,-0.13905601166359816,0.5400424359271961,227.62019620556615,206.99414095263697,20.626055252929177,-8.754730224609318
2015-12-11,205.53858947753903,217.82833862304688,219.21127319335932,215.5310821533203,217.55404663085932,18155513,0.0027358263872345,0.0027320908259044,3.680191040039034,0.2742919921875284,0.0161127427734587,217.6523292541504,213.1259259033203,209.1589225769043,217.38351169946904,1,51.735921013988666,-0.11353604352058255,0.4093267400376404,227.5183952979756,207.78626321032522,19.73213208765037,-5.9660186767578125
